City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code
Mckeesport,53.0,Jessica Myrick,Small Business,0.1,1,2012-01-01,28774,High,32,0.68,Office Supplies,Small Box,"Perma Stor-All™ Hanging File Box, 13 1/8""W X 12 1/4""D X 10 1/2""H",Storage & Organization,-111.8,East,4031,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131
Bowie,53.0,Matt Collister,Home Office,0.08,1,2012-01-01,13729,Not Specified,9,0.52,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,1914,872.48,2012-01-03,Express Air,35.0,Maryland,95.99,20715
Napa,53.0,Alan Schoenberger,Corporate,0.0,1,2012-01-02,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,1239.06,2012-01-02,Delivery Truck,48.8,California,291.73,94559
Montebello,53.0,Elizabeth Moffitt,Consumer,0.08,1,2012-01-02,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White Gluetop Scratch Pads,Paper,247.79,West,6225,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640
Napa,53.0,Alan Schoenberger,Corporate,0.07,1,2012-01-02,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,4083.19,2012-01-04,Delivery Truck,45.0,California,100.98,94559
Montebello,53.0,Elizabeth Moffitt,Consumer,0.09,1,2012-01-02,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" X 7""",Paper,26.71,West,6224,137.63,2012-01-04,Express Air,2.15,California,9.11,90640
Prior Lake,53.0,David Philippe,Consumer,0.06,1,2012-01-02,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 Sheets",Binders And Binder Accessories,-11.937,Central,1279,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372
Napa,53.0,Alan Schoenberger,Corporate,0.05,1,2012-01-02,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,4902.38,2012-01-09,Regular Air,7.07,California,155.06,94559
Phenix City,53.0,Patrick Jones,Home Office,0.09,1,2012-01-03,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5705,698.0,2012-01-04,Delivery Truck,52.2,Alabama,212.6,36869
Draper,53.0,Larry Tron,Home Office,0.05,1,2012-01-03,9762,High,12,0.78,Furniture,Medium Box,36X48 Hardfloor Chairmat,Office Furnishings,-146.05,West,1336,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020
